,user_id,amount_usd,engagement,notify_count,brand,birth_year,country,city,created_date,user_settings_crypto_unlocked,plan,attributes_notifications_marketing_push,attributes_notifications_marketing_email,num_contacts,num_referrals,num_successful_referrals
0,user_0,13683.77000000001,1,8,Apple,1989,PL,Gdansk,2018-01-13 05:15:15.599466,1,STANDARD,1.0,1.0,3,0,0
1,user_1,6103.879999999997,0,7,Apple,1975,GB,London,2018-01-29 03:38:46.676876,0,STANDARD,,,21,0,0
2,user_10,52149.93999999991,1,6,Apple,1980,FR,Paris,2018-01-04 08:05:15.466282,0,STANDARD,1.0,1.0,38,0,0
3,user_100,20777.819999999992,0,4,Apple,1969,GB,St Clement Jersey,2018-01-15 08:42:17.099386,0,STANDARD,,,0,0,0
4,user_1002,28938.87000000001,1,11,Android,1976,LT,Zalesa,2018-01-13 01:04:25.771157,0,STANDARD,,,14,0,0
5,user_1003,17370.52,0,6,Android,1988,AT,Grafendorf,2018-01-23 00:20:21.236226,1,STANDARD,,,2,0,0
6,user_1005,17847.099999999995,1,7,Android,1987,PL,Wrocław,2018-01-27 23:06:28.273838,0,STANDARD,,,0,0,0
7,user_1006,6220.260000000001,0,8,Android,1983,RO,Bucharesg,2018-01-05 03:52:17.823365,0,STANDARD,1.0,1.0,43,0,0
8,user_1007,1819.8200000000006,0,9,Apple,1964,GB,Slough,2018-01-21 22:24:59.486193,0,STANDARD,,,0,0,0
9,user_1009,34958.32999999997,1,5,Apple,1991,GI,Gibraltar,2018-01-22 01:13:12.739268,0,STANDARD,,,38,0,0
10,user_101,454.75000000000006,0,5,Apple,1981,CH,Luzern,2018-01-08 08:58:56.007991,1,STANDARD,1.0,1.0,0,0,0
11,user_1010,23530.44999999997,1,17,Apple,1990,GB,St Albans,2018-01-20 11:30:55.283970,0,STANDARD,,,8,0,0
12,user_1012,21576.55,1,3,Android,1974,ES,Barcelona,2018-01-09 17:11:17.766958,0,STANDARD,1.0,1.0,0,0,0
13,user_1014,24600.210000000006,0,12,Apple,1982,FR,Balma,2018-01-04 12:32:43.706750,1,STANDARD,1.0,1.0,11,0,0
14,user_1015,5916.550000000001,0,11,Android,1982,GB,Neath,2018-01-25 21:11:12.188454,1,STANDARD,1.0,1.0,1,0,0
15,user_1017,43718.95999999995,1,7,Apple,1994,CZ,Ostrava,2018-01-02 18:48:44.930569,1,METAL_FREE,1.0,1.0,15,0,0
16,user_1018,6025.710000000003,0,6,Apple,1988,LV,Rīga,2018-01-17 18:43:11.553277,0,STANDARD,1.0,1.0,47,0,0
17,user_1019,7385.9000000000015,1,10,Android,1987,PL,Kraków,2018-01-28 10:08:20.846875,0,STANDARD,,,13,0,0
18,user_1021,12393.939999999995,1,6,Apple,1993,GB,London,2018-02-01 13:29:35.494147,0,STANDARD,1.0,1.0,0,0,0
19,user_1023,6947.9,0,6,Android,1972,GB,Birmingham,2018-01-27 07:15:02.054065,0,STANDARD,1.0,1.0,5,0,0
20,user_1024,95671.59,0,8,Apple,1989,FR,Bezons,2018-01-23 07:33:24.159927,0,STANDARD,1.0,1.0,5,0,0
21,user_1026,1300080354.650002,1,7,Android,1993,GB,Manchester,2018-01-23 13:11:08.108266,1,PREMIUM,1.0,1.0,43,0,0
22,user_1027,325.79,0,14,Apple,1984,RO,Bucuresti,2018-01-07 19:32:04.409288,0,STANDARD,1.0,1.0,33,0,0
23,user_1028,7123.799999999997,0,7,Android,1984,PL,Nowy Dwór Mazowiecki,2018-01-26 00:00:20.246544,0,STANDARD,1.0,1.0,0,0,0
24,user_1029,4431.580000000003,0,16,Apple,1982,GB,Wolverhampton,2018-01-04 22:59:14.402487,1,STANDARD,,,5,0,0
25,user_1030,37.19,0,6,Apple,1980,GB,Warrington,2018-01-07 21:28:29.654005,0,STANDARD,1.0,1.0,0,0,0
26,user_1033,3027.3,0,4,Apple,1991,GB,London,2018-01-16 21:15:04.176122,0,STANDARD,,,2,0,0
27,user_1034,25.04,0,6,Android,1989,GB,Glasgow,2018-01-13 05:27:52.634777,0,STANDARD,1.0,1.0,10,0,0
28,user_1035,219525.96,1,7,Android,1992,GB,Southampton,2018-01-09 17:58:00.869955,1,PREMIUM,,,5,0,0
29,user_1037,1537.3600000000004,0,6,Android,1976,HR,Osijek,2018-01-16 00:08:07.794012,0,STANDARD,1.0,1.0,13,0,0
30,user_1038,9001.729999999996,0,5,Apple,1980,GB,Marlow,2018-01-27 22:58:34.070954,0,STANDARD,0.0,0.0,0,0,0
31,user_104,4960.850000000005,1,3,Apple,1993,PL,Szczecin,2018-01-11 07:50:06.407993,0,STANDARD,,,14,0,0
32,user_1040,964.6500000000001,0,11,Android,1987,GB,Oldham,2018-02-01 17:47:23.716695,1,STANDARD,1.0,0.0,0,0,0
33,user_1042,1004.09,0,13,Android,1995,LT,Jonavos r.,2018-01-30 13:04:10.585339,0,STANDARD,1.0,1.0,0,0,0
34,user_1043,2014.5099999999998,0,9,Android,1992,ES,Reus,2018-01-20 11:25:59.444454,0,STANDARD,,,3,0,0
35,user_1044,14162.080000000005,0,15,Apple,1985,LT,Klaipeda,2018-01-11 18:53:10.531146,1,STANDARD,,,75,0,0
36,user_1045,2466.2300000000014,0,12,Android,1985,PL,Warsaw,2018-01-25 17:47:27.790413,0,STANDARD,,,30,0,0
37,user_1046,33581.62000000001,0,7,Apple,1987,GB,Glasgow,2018-01-05 10:01:13.183052,0,STANDARD,1.0,1.0,0,0,0
38,user_1047,20034.429999999997,1,177,Android,1988,LT,Vilnius,2018-01-13 09:52:10.954759,0,STANDARD,0.0,0.0,58,0,0
39,user_1048,19626.54,1,5,Apple,1997,GB,Wakefield,2018-01-24 02:27:16.046571,0,STANDARD,,,4,0,0
40,user_1050,8314.489999999993,0,11,Apple,1974,GB,Birmingham,2018-01-13 15:05:32.820862,1,STANDARD,1.0,1.0,2,0,0
41,user_1051,15829.68,1,22,Apple,1993,GB,Newbury,2018-01-15 09:39:43.948901,0,STANDARD,1.0,0.0,31,0,0
42,user_1052,523.61,0,8,Apple,1953,GB,London,2018-01-18 00:05:00.001658,0,STANDARD,,,0,0,0
43,user_1053,53957.75000000006,1,11,Apple,1982,GB,London,2018-01-26 17:05:19.152175,0,PREMIUM_OFFER,,,24,0,0
44,user_1054,2566.25,0,5,Android,1996,LT,Kulautuva,2018-01-22 00:23:21.368288,0,STANDARD,,,13,0,0
45,user_1055,44726.70999999998,1,10,Android,1992,GB,London,2018-01-18 02:25:01.373130,0,STANDARD,1.0,1.0,38,0,0
46,user_1056,5808.51,0,9,Android,1992,GB,London,2018-01-03 16:00:42.216822,1,STANDARD,1.0,1.0,68,0,0
47,user_1057,73223.54999999996,1,16,Apple,1950,GB,Bellshill,2018-01-13 20:32:58.620830,0,STANDARD,1.0,1.0,3,0,0
48,user_1058,7267.960000000002,0,4,Android,1978,IE,Waterford,2018-01-17 00:29:07.612151,1,STANDARD,,,1,0,0
49,user_106,3759.9400000000005,0,7,Apple,1998,SK,Ružomberok,2018-01-04 22:09:39.967265,1,STANDARD,1.0,1.0,0,0,0
50,user_1060,16340.030000000002,1,4,Apple,1981,GB,High Wycombe,2018-01-10 05:32:17.333406,0,STANDARD,,,8,0,0
51,user_1061,39359.45,0,16,Apple,1963,GB,Watford,2018-01-05 16:28:48.923375,1,STANDARD,1.0,1.0,2,0,0
52,user_1062,765.0600000000001,0,9,Android,1973,PL,Bydgoszcz,2018-01-27 07:36:57.862743,0,STANDARD,,,5,0,0
53,user_1063,18946.420000000006,0,5,Apple,1961,GB,Southampton,2018-01-22 07:44:29.534427,0,STANDARD,1.0,1.0,0,0,0
54,user_1064,29523.509999999933,1,11,Apple,1984,RO,Bucharest,2018-02-01 14:42:02.846608,0,METAL,1.0,1.0,79,0,0
55,user_1065,208.36,0,13,Android,1995,FR,Nantes,2018-01-25 07:20:55.123037,0,STANDARD,,,5,0,0
56,user_1066,162064.2999999999,1,22,Apple,1979,RO,Bucharest,2018-01-24 05:33:14.864805,1,PREMIUM,1.0,1.0,43,0,0
57,user_1067,10228.61,0,11,Android,1968,PL,Piaseczno,2018-01-03 08:32:10.033490,0,STANDARD,,,0,0,0
58,user_1068,79423.83000000003,1,15,Apple,1983,GB,London,2018-01-29 00:24:49.285045,1,STANDARD,,,45,0,0
59,user_1069,21460.000000000007,1,7,Unknown,1951,GB,London,2018-01-31 13:46:34.067962,1,STANDARD,1.0,1.0,0,0,0
60,user_107,2525.3399999999997,0,14,Android,1985,SE,Sollentuna,2018-01-05 01:49:03.664873,0,STANDARD,,,24,0,0
61,user_1070,38.82,0,13,Apple,1959,CH,zurich,2018-01-24 00:38:01.595100,0,STANDARD,,,3,0,0
62,user_1072,147.1,0,2,Android,1980,LT,Kaunas,2018-01-20 04:57:35.784932,0,STANDARD,,,6,0,0
63,user_1073,851077987.43,0,7,Apple,1992,BE,Leuven,2018-01-22 18:54:55.724483,0,STANDARD,1.0,1.0,3,0,0
64,user_1077,23859.440000000024,1,8,Apple,1993,GB,Bromley,2018-01-16 11:16:43.292012,1,STANDARD,1.0,1.0,17,0,0
65,user_1078,1120.01,0,8,Android,1983,GB,Mansfield,2018-01-25 07:04:40.566926,0,STANDARD,1.0,1.0,0,0,0
66,user_108,3904.1399999999985,1,6,Android,1975,PL,BIELSKO BIALA,2018-01-31 08:37:10.920106,0,STANDARD,1.0,1.0,16,0,0
67,user_1080,24416.249999999993,1,8,Android,1972,GB,London,2018-01-18 08:38:37.924250,1,STANDARD,,,7,0,0
68,user_1081,11475.939999999997,0,5,Apple,1975,GB,Milford Haven,2018-01-16 07:53:49.117443,1,STANDARD,1.0,1.0,0,0,0
69,user_1083,147185.60999999987,1,3,Apple,1965,DE,Höhenkirchen,2018-01-26 10:59:36.875416,0,METAL,1.0,1.0,6,0,0
70,user_1086,1230.6900000000005,0,13,Apple,1983,ES,Madrid,2018-01-19 03:55:18.939948,0,STANDARD,1.0,0.0,14,0,0
71,user_1088,2938.080000000003,0,7,Apple,1986,IE,Co Dublin,2018-01-12 22:00:37.494290,1,STANDARD,1.0,1.0,42,0,0
72,user_1089,10024.910000000022,1,11,Android,1996,GB,Milton Keynes,2018-01-26 07:56:48.487572,1,PREMIUM,1.0,1.0,10,0,0
